Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
Drake,Passionfruit,81.00,0.81,0.46,11.00,-11.38,1.00,0.04,0.26,0.09,0.11,0.36,111.98,4.98,4.00,9.00
Abstract Orchestra,New Day,45.00,0.75,0.41,8.00,-6.06,0.00,0.05,0.05,0.01,0.12,0.34,91.94,145052.00,4.00,5.00
Luther Allison,Soul Fixin' Man,13.00,0.53,0.60,2.00,-13.70,1.00,0.04,0.02,0.03,0.03,0.77,134.64,187827.00,4.00,2.00
Elena Falwell,Elegi For Cello,41.00,0.17,0.15,0.00,-19.54,1.00,0.03,0.96,0.90,0.11,0.04,76.41,2.72,3.00,7.00
Sharon Van Etten,Comeback Kid,51.00,0.54,0.93,0.00,-5.21,1.00,0.08,0.01,0.54,0.03,0.35,120.10,182333.00,4.00,10.00
beabadoobee,"Don’t You (Forget About Me) - live from Abbey Road Studios, London",41.00,0.64,0.89,2.00,-5.15,1.00,0.05,0.01,0.01,0.12,0.50,110.01,239488.00,4.00,10.00
R.E.M.,Drive,62.00,0.47,0.43,7.00,-11.75,1.00,0.03,0.18,0.01,0.23,0.24,142.64,271333.00,4.00,10.00
FCG Heem,Shinin,44.00,0.51,0.39,6.00,-11.51,0.00,0.41,0.08,0.01,0.05,0.46,84.11,186812.00,4.00,5.00
The Beatles,She's Leaving Home - Remastered,0.00,0.38,0.21,4.00,-11.63,1.00,0.03,0.94,0.01,0.11,0.39,127.58,3.59,3.00,11.00
Tom The Mail Man,Taking Over,60.00,0.76,0.52,5.00,-8.02,0.00,0.10,0.03,0.01,0.10,0.72,156.97,158000.00,4.00,5.00
ANSON,Ghost,28.00,0.36,0.94,4.00,-6.17,0.00,0.10,0.01,0.01,0.15,0.48,147.22,209682.00,4.00,10.00
Jimmy Eat World,All The Way (Stay),38.00,0.58,0.93,7.00,-2.49,1.00,0.06,0.01,0.01,0.14,0.74,133.99,245747.00,4.00,10.00
dempsey hope,picture perfect,3.00,0.61,0.48,5.00,-9.14,1.00,0.14,0.30,0.01,0.05,0.87,73.63,147013.00,4.00,9.00
Howie Lee,Birdy Island,24.00,0.49,0.50,4.00,-13.58,0.00,0.06,0.63,0.79,0.22,0.15,159.91,258771.00,4.00,6.00
Pit Pony,Dutch Courage,25.00,0.12,0.92,1.00,-3.28,1.00,0.07,0.01,0.10,0.22,0.42,151.89,270205.00,4.00,1.00
Niko B,Who's That What's That,63.00,0.86,0.67,7.00,-8.51,1.00,0.22,0.42,0.01,0.10,0.24,128.10,240000.00,4.00,9.00
Ruthi Navon,חשמל בכפות ידיך,22.00,0.77,0.53,10.00,-11.82,1.00,0.04,0.78,0.01,0.09,0.93,141.63,238000.00,4.00,10.00
Dan + Shay,Good Things,71.00,0.53,0.62,11.00,-6.02,1.00,0.03,0.13,0.01,0.17,0.62,97.19,2.48,4.00,9.00
Gossip,Standing In the Way of Control,55.00,0.70,0.92,7.00,-6.17,1.00,0.03,0.01,0.06,0.20,0.94,118.34,256400.00,4.00,6.00
Gone Is Gone,Breaks,28.00,0.41,0.93,11.00,-6.25,1.00,0.11,0.01,0.35,0.23,0.17,102.95,235214.00,4.00,8.00
Violent Soho,Covered in Chrome,55.00,0.56,0.75,5.00,-5.22,1.00,0.04,0.01,0.01,0.17,0.41,152.06,212547.00,4.00,10.00
Mr. Oizo,Positif,44.00,0.74,0.93,10.00,-5.63,0.00,0.05,0.01,0.62,0.13,0.51,123.01,171120.00,4.00,6.00
Cage The Elephant,Skin and Bones,65.00,0.54,0.79,9.00,-3.23,0.00,0.04,0.01,0.01,0.29,0.36,159.99,196173.00,4.00,10.00
Carusella,Star Quality,11.00,0.43,0.97,1.00,-4.56,1.00,0.11,0.01,0.01,0.14,0.18,146.62,269440.00,4.00,6.00
Faith No More,Falling to Pieces,0.00,0.55,0.92,2.00,-7.68,1.00,0.05,0.01,0.01,0.10,0.39,104.36,313573.00,4.00,10.00
FLO,D's,66.00,0.27,0.29,7.00,-11.94,0.00,0.03,0.77,0.70,0.11,0.04,137.94,811077.00,3.00,9.00
Pathiena,The Deepest Of Sorrow,40.00,0.65,0.33,2.00,-16.64,1.00,0.04,0.24,0.89,0.38,0.18,128.10,3.55,4.00,11.00
The Offspring,Coming for You,59.00,0.51,0.91,0.00,-1.80,1.00,0.08,0.01,0.01,0.07,0.53,139.38,228587.00,4.00,10.00
Pain of Salvation,Meaningless,42.00,0.58,0.66,7.00,-4.01,1.00,0.04,0.07,0.01,0.30,0.37,144.91,287467.00,3.00,10.00
Lenny Kravitz,Stand By My Woman,0.00,0.52,0.53,2.00,-6.37,1.00,0.03,0.09,0.02,0.11,0.27,122.27,259627.00,4.00,10.00
Black Sabbath,Paranoid,16.00,0.43,0.62,4.00,-11.50,0.00,0.07,0.01,0.01,0.17,0.38,162.72,2.81,4.00,10.00
The Dark Element,Songs the Night Sings,47.00,0.45,0.85,3.00,-8.26,1.00,0.04,0.01,0.02,0.25,0.41,152.14,309827.00,4.00,8.00
Henry Gray,Let's Get High,19.00,0.70,0.61,0.00,-6.99,1.00,0.05,0.74,0.01,0.19,0.67,131.06,232413.00,4.00,2.00
Eyal Golan,טעיתי,38.00,0.54,0.43,5.00,-9.58,0.00,0.05,0.43,0.01,0.22,0.24,88.05,220543.00,4.00,9.00
Noah Kahan,Young Blood - Acoustic,59.00,0.69,0.23,11.00,-10.51,1.00,0.05,0.82,0.01,0.10,0.30,85.15,3.34,4.00,11.00
The First Edition,Just Dropped In (To See What Condition My Condition Was In),57.00,0.58,0.55,9.00,-9.90,0.00,0.06,0.18,0.01,0.15,0.52,115.90,201213.00,4.00,10.00
Alka Yagnik,Aaye Ho Meri Zindagi Mein - Female Version,42.00,0.57,0.75,8.00,-11.64,0.00,0.03,0.68,0.04,0.08,0.92,135.01,6.06,3.00,3.00
Bryan Adams,I Think About You,43.00,0.62,0.55,7.00,-7.27,1.00,0.02,0.16,0.01,0.10,0.62,75.03,216373.00,4.00,10.00
The Shins,Simple Song,62.00,0.55,0.88,7.00,-5.14,1.00,0.05,0.01,0.01,0.14,0.35,119.95,255400.00,4.00,1.00
benny blanco,Care (with Omar Apollo),50.00,0.62,0.22,2.00,-12.80,1.00,0.04,0.76,0.01,0.11,0.21,90.00,290466.00,4.00,1.00
The 1975,She's American,57.00,0.64,0.86,1.00,-3.92,1.00,0.06,0.18,0.01,0.08,0.52,115.97,270104.00,4.00,10.00
Winger,Seventeen,60.00,0.58,0.68,8.00,-11.93,1.00,0.03,0.01,0.01,0.06,0.68,95.98,245267.00,4.00,8.00
Townes Van Zandt,Waitin' Around To Die,52.00,0.55,0.23,6.00,-18.25,0.00,0.03,0.71,0.01,0.11,0.66,89.57,165187.00,4.00,6.00
Piers Faccini,Bring Down The Wall,28.00,0.45,0.39,2.00,-10.16,0.00,0.04,0.41,0.01,0.08,0.69,98.00,205533.00,4.00,10.00
Athletic Progression,Stepney Tale,37.00,0.63,0.80,5.00,-7.23,0.00,0.23,0.55,0.01,0.15,0.50,92.76,209833.00,4.00,5.00
Thirty Seconds To Mars,Dangerous Night,56.00,0.30,0.72,2.00,-6.53,1.00,0.07,0.01,0.01,0.24,0.24,86.94,199773.00,4.00,10.00
Pete Rock & C.L. Smooth,Straighten It Out,50.00,0.77,0.66,10.00,-11.17,0.00,0.25,0.11,0.01,0.08,0.79,98.82,253413.00,4.00,5.00
Peter Case,Bumble Bee,45.00,0.72,0.25,7.00,-10.91,0.00,0.05,0.67,0.01,0.39,0.50,83.55,214933.00,4.00,2.00
Menahan Street Band,Queens Highway,50.00,0.78,0.40,1.00,-8.98,1.00,0.09,0.08,0.84,0.10,0.32,137.31,67720.00,4.00,1.00
Butcher Babies,Sleeping with the Enemy,48.00,0.44,0.95,7.00,-5.19,0.00,0.07,0.01,0.23,0.35,0.46,165.09,212927.00,4.00,8.00
MICROCORPS,DOR,10.00,0.45,0.78,3.00,-11.76,0.00,0.06,0.05,0.70,0.11,0.61,177.95,331304.00,4.00,6.00
Sarah Palu,Ikivirta,38.00,0.62,0.38,5.00,-11.89,0.00,0.03,0.74,0.51,0.11,0.12,151.98,387547.00,4.00,1.00
Saltatio Mortis,Kaufmann und Maid,54.00,0.57,0.77,2.00,-5.33,0.00,0.04,0.03,0.01,0.07,0.58,124.01,223907.00,4.00,8.00
JADHU,Fling,32.00,0.62,0.84,9.00,-6.71,0.00,0.03,0.27,0.01,0.11,0.70,99.02,225072.00,4.00,9.00
Bring Me The Horizon,Parasite Eve,69.00,0.59,0.80,9.00,-5.46,1.00,0.15,0.03,0.01,0.38,0.23,102.49,291813.00,4.00,10.00
Frost*,Day and Age - Edit,38.00,0.44,0.86,8.00,-6.94,1.00,0.04,0.01,0.01,0.18,0.34,169.95,301533.00,4.00,8.00
Toto Espinoza,Frida Kahlo,41.00,0.61,0.16,4.00,-12.93,0.00,0.04,0.98,0.90,0.10,0.13,95.58,5.74,3.00,7.00
T-Bone Walker,Evil Hearted Woman - Alternate Take,30.00,0.62,0.26,1.00,-11.64,1.00,0.06,0.90,0.03,0.08,0.55,51.00,156933.00,4.00,2.00
K. J. Yesudas,Do Din Ki Jawani - Adalat / Soundtrack Version,7.00,0.51,0.66,6.00,-7.19,0.00,0.06,0.51,0.01,0.21,0.70,145.90,3.18,4.00,3.00
Jimi Hendrix,Purple Haze,71.00,0.53,0.91,2.00,-5.27,1.00,0.08,0.01,0.58,0.07,0.49,108.90,2.85,4.00,10.00
Eskiz,Aborjinin Türküsü,21.00,0.59,0.75,7.00,-6.06,1.00,0.05,0.12,0.01,0.24,0.26,138.07,249000.00,4.00,10.00
Lowest Creature,Reapers Fool,23.00,0.49,0.98,11.00,-4.97,1.00,0.11,0.01,0.02,0.20,0.53,139.96,202019.00,4.00,8.00
Tomer Yeshayahu,בלי לעזוב,30.00,0.62,0.38,5.00,-11.80,1.00,0.03,0.70,0.01,0.12,0.51,132.61,219625.00,4.00,9.00
Neon Trees,Animal,66.00,0.48,0.83,5.00,-5.58,1.00,0.04,0.01,0.01,0.38,0.74,147.99,212307.00,4.00,10.00
JJ Lin,Bedroom (feat. Anne-Marie),69.00,0.37,0.42,7.00,-5.43,1.00,0.03,0.64,0.01,0.18,0.18,179.60,203991.00,4.00,9.00
Foreign Air,Monsters,50.00,0.55,0.67,9.00,-4.90,0.00,0.03,0.01,0.01,0.11,0.17,89.99,224053.00,4.00,6.00
S. P. Balasubrahmanyam,Mere Rang Mein Rangne Wali,34.00,0.55,0.35,7.00,-14.70,0.00,0.04,0.77,0.01,0.12,0.50,117.75,6.90,4.00,3.00
Scary Kids Scaring Kids,Holding On,49.00,0.42,0.94,8.00,-5.15,0.00,0.07,0.01,0.01,0.10,0.46,165.02,261240.00,4.00,10.00
Lawrence of Arcadia,David Keenan,30.00,0.52,0.34,2.00,-8.03,1.00,0.04,0.84,0.01,0.11,0.46,110.96,4.76,5.00,11.00
Nirvana,In Bloom,65.00,0.44,0.88,10.00,-4.90,0.00,0.06,0.01,0.01,0.21,0.51,157.04,255080.00,4.00,1.00
Berry Sakharof,77' - Acoustic Live,17.00,0.50,0.47,0.00,-8.00,1.00,0.03,0.64,0.05,0.28,0.35,158.81,268400.00,4.00,10.00
Breezie 311,Shots In The Dark,32.00,0.71,0.76,9.00,-5.27,0.00,0.04,0.01,0.01,0.09,0.85,129.98,141875.00,4.00,10.00
Ghali,Combo (feat. Mr Eazi),41.00,0.83,0.78,9.00,-4.73,0.00,0.11,0.08,0.01,0.26,0.81,100.01,176012.00,4.00,9.00
Gwar,Sick of You,48.00,0.66,0.54,1.00,-9.72,1.00,0.05,0.01,0.01,0.32,0.74,132.26,188830.00,4.00,8.00
Downset,Empower,42.00,0.58,0.93,1.00,-5.72,1.00,0.12,0.01,0.01,0.10,0.53,97.92,144267.00,4.00,8.00
Blue Material,Blue Blood,37.00,0.62,0.60,9.00,-7.80,0.00,0.03,0.01,0.85,0.13,0.61,116.01,230152.00,4.00,6.00
Sempra,B Mine?,19.00,0.75,0.92,3.00,-4.48,0.00,0.05,0.18,0.69,0.19,0.97,148.00,266133.00,4.00,1.00
Malcolm McLaren,Buffalo Gals,41.00,0.88,0.64,4.00,-13.62,0.00,0.16,0.03,0.01,0.21,0.62,108.86,259427.00,4.00,5.00
Arcade Fire,Ready to Start,58.00,0.28,0.93,9.00,-4.70,1.00,0.04,0.12,0.03,0.07,0.54,190.08,255893.00,4.00,10.00
Bad Nerves,Dreaming,32.00,0.45,0.96,6.00,-6.60,0.00,0.12,0.01,0.01,0.15,0.39,107.46,129373.00,4.00,6.00
3 Doors Down,Your Arms Feel Like home,37.00,0.55,0.71,9.00,-6.56,0.00,0.03,0.01,0.01,0.10,0.19,120.00,224213.00,4.00,10.00
